Census Tract,CE01totcounts,CE02totcounts,CE03totcounts,C000totcounts,ct,CE01Percent,CE02Percent,CE03Percent,TractLabel
008200,1708,2223,4392,8323,008200,0.20521446593776282,0.2670911930794185,0.5276943409828186,6
008201,346,468,490,1304,008201,0.26533742331288346,0.3588957055214724,0.37576687116564417,5
008202,468,617,619,1704,008202,0.2746478873239437,0.36208920187793425,0.36326291079812206,5
008300,1647,2168,2550,6365,008300,0.2587588373919874,0.3406127258444619,0.40062843676355064,5
008301,740,1167,1188,3095,008301,0.23909531502423265,0.37705977382875605,0.3838449111470113,5
008302,407,413,1799,2619,008302,0.1554028255059183,0.15769377625047729,0.6869033982436045,6
008400,1567,2058,2292,5917,008400,0.26483015041406116,0.34781139090755453,0.3873584586783843,5
008401,149,157,569,875,008401,0.1702857142857143,0.17942857142857144,0.6502857142857142,6
008403,267,347,1013,1627,008403,0.16410571604179472,0.2132759680393362,0.6226183159188691,6
008404,393,495,1304,2192,008404,0.1792883211678832,0.2258211678832117,0.5948905109489051,6
008500,2413,3231,3156,8800,008500,0.2742045454545455,0.36715909090909093,0.35863636363636364,5
008600,1838,2505,2946,7289,008600,0.2521607902318562,0.3436685416380848,0.404170668130059,5
008601,132,173,1038,1343,008601,0.09828741623231571,0.12881608339538347,0.7728965003723008,6
008602,364,397,1424,2185,008602,0.1665903890160183,0.18169336384439358,0.6517162471395881,6
008603,245,209,1427,1881,008603,0.13024986709197237,0.1111111111111111,0.7586390217969166,6
008700,2425,3321,5918,11664,008700,0.20790466392318244,0.2847222222222222,0.5073731138545954,6
008701,477,694,369,1540,008701,0.30974025974025976,0.45064935064935063,0.2396103896103896,1
008702,223,279,121,623,008702,0.3579454253611557,0.4478330658105939,0.1942215088282504,1
008800,2189,2883,6215,11287,008800,0.1939399308939488,0.25542659696996545,0.5506334721360857,6
008900,1404,1634,3516,6554,008900,0.2142203234665853,0.24931339639914557,0.5364662801342691,6
008901,480,568,1750,2798,008901,0.17155110793423875,0.20300214438884917,0.6254467476769121,6
008902,379,460,1007,1846,008902,0.20530877573131096,0.24918743228602383,0.5455037919826652,6
009000,1630,1914,4925,8469,009000,0.19246664305112765,0.22600070846617074,0.5815326484827016,6
009004,471,419,985,1875,009004,0.2512,0.22346666666666667,0.5253333333333333,6
009006,879,855,1939,3673,009006,0.2393139123332426,0.23277974407841,0.5279063435883474,6
009007,883,687,2084,3654,009007,0.24165298303229338,0.18801313628899835,0.5703338806787083,6
009008,446,375,1033,1854,009008,0.2405609492988134,0.2022653721682848,0.5571736785329018,6
009009,599,521,1326,2446,009009,0.24488961569910056,0.21300081766148815,0.5421095666394112,6
009010,696,584,1481,2761,009010,0.25208257877580587,0.2115175660992394,0.5363998551249547,6
009100,1335,1509,4613,7457,009100,0.17902641813061554,0.20236019847123507,0.6186133833981494,6
009104,562,513,1064,2139,009104,0.262739597942964,0.23983169705469845,0.49742870500233755,6
009106,449,422,728,1599,009106,0.28080050031269543,0.26391494684177613,0.45528455284552843,6
009107,686,718,855,2259,009107,0.30367419212040725,0.3178397521027003,0.3784860557768924,3
009109,491,461,679,1631,009109,0.30104230533415083,0.2826486817903127,0.41630901287553645,2
009110,167,142,220,529,009110,0.31568998109640833,0.2684310018903592,0.4158790170132325,2
009112,300,286,418,1004,009112,0.29880478087649404,0.2848605577689243,0.4163346613545817,6
009113,890,750,1706,3346,009113,0.2659892408846384,0.22414823670053796,0.5098625224148237,6
009114,544,523,1024,2091,009114,0.2601626016260163,0.2501195600191296,0.48971783835485416,6
009115,293,283,479,1055,009115,0.2777251184834123,0.2682464454976303,0.45402843601895737,6
009116,686,678,1033,2397,009116,0.2861910721735503,0.2828535669586984,0.4309553608677514,6
009200,2572,3452,5138,11162,009200,0.2304246550797348,0.30926357283640926,0.46031177208385593,5
009300,1693,2126,4265,8084,009300,0.20942602671944582,0.26298861949529934,0.5275853537852548,6
009301,1033,1132,948,3113,009301,0.3318342434950209,0.36363636363636365,0.30452939286861547,3
009302,682,849,817,2348,009302,0.29045996592844975,0.36158432708688243,0.3479557069846678,5
009400,1999,2220,2762,6981,009400,0.28634866065033665,0.31800601633003867,0.3956453230196247,5
009401,649,711,1265,2625,009401,0.24723809523809523,0.27085714285714285,0.4819047619047619,6
009402,518,546,1174,2238,009402,0.23145665773011617,0.24396782841823056,0.5245755138516532,6
009500,1446,1598,3461,6505,009500,0.22229054573405074,0.24565718677940046,0.5320522674865488,6
009501,654,581,1329,2564,009501,0.2550702028081123,0.2265990639625585,0.5183307332293292,6
009502,848,897,1668,3413,009502,0.2484617638441254,0.26281863463228833,0.4887196015235863,6
009600,2207,2798,4604,9609,009600,0.2296805078572172,0.2911853470704548,0.47913414507232804,6
009601,591,693,1006,2290,009601,0.25807860262008736,0.3026200873362445,0.4393013100436681,5
009602,610,627,908,2145,009602,0.28438228438228436,0.2923076923076923,0.4233100233100233,6
009603,246,307,119,672,009603,0.36607142857142855,0.4568452380952381,0.17708333333333334,1
009604,157,195,48,400,009604,0.3925,0.4875,0.12,1
009700,1164,1462,2920,5546,009700,0.20988099531193652,0.26361341507392716,0.5265055896141363,6
009701,759,805,1654,3218,009701,0.23586078309509012,0.2501553760099441,0.5139838408949658,6
009702,828,1043,1786,3657,009702,0.22641509433962265,0.28520645337708506,0.4883784522832923,6
009703,316,338,1373,2027,009703,0.15589541193882586,0.1667488899851998,0.6773556980759744,6
009800,2314,3058,6212,11584,009800,0.1997582872928177,0.26398480662983426,0.5362569060773481,6
009900,1038,1293,3218,5549,009900,0.18706073166336276,0.23301495765002703,0.5799243106866102,6
010000,1868,2275,3934,8077,010000,0.23127398786678222,0.28166398415253185,0.4870620279806859,6
010001,464,612,600,1676,010001,0.27684964200477324,0.36515513126491644,0.35799522673031026,5
010002,598,741,741,2080,010002,0.2875,0.35625,0.35625,5
010003,578,681,730,1989,010003,0.2905982905982906,0.34238310708898945,0.36701860231271993,5
010100,3350,4298,7207,14855,010100,0.2255132951868058,0.2893301918545944,0.4851565129585998,6
010101,1784,2138,3587,7509,010101,0.23758156878412573,0.28472499667066187,0.4776934345452124,6
010102,1677,2108,2802,6587,010102,0.2545923789281919,0.3200242902687111,0.425383330803097,5
010103,564,830,839,2233,010103,0.25257501119570086,0.3716972682489924,0.3757277205553068,5
010200,5750,6423,10876,23049,010200,0.24946852358019872,0.2786671872966289,0.47186428912317235,6
010201,858,1191,1240,3289,010201,0.2608695652173913,0.3621161447248404,0.3770142900577683,5
010202,1083,1261,1296,3640,010202,0.2975274725274725,0.3464285714285714,0.35604395604395606,5
010300,4023,4692,8470,17185,010300,0.2340995053826011,0.2730288041897003,0.49287169042769857,6
010301,671,771,1220,2662,010301,0.25206611570247933,0.28963185574755823,0.45830202854996244,6
010321,401,364,778,1543,010321,0.25988334413480235,0.23590408295528192,0.5042125729099157,6
010322,458,614,1081,2153,010322,0.2127264282396656,0.2851834649326521,0.5020901068276823,6
010400,4673,5755,7650,18078,010400,0.2584909835158756,0.31834273702843235,0.423166279455692,5
010500,4553,5191,9594,19338,010500,0.23544316889026787,0.26843520529527354,0.49612162581445857,6
010501,885,1120,1691,3696,010501,0.23944805194805194,0.30303030303030304,0.457521645021645,5
010502,854,1131,1875,3860,010502,0.22124352331606217,0.29300518134715026,0.48575129533678757,6
